onset	duration	trial_type	response_time	stim_file
6.0192	3.0004	face2r5ext_st	N/A	face2r5ext_st.mat
12.032	3.0004.1	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
15.038	3.0005	animal1r4ext_st	N/A	animal1r4ext_st.mat
18.045	3.0005.1	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
21.051	3.0005.2	animal4r3ext_st	N/A	animal4r3ext_st.mat
24.058	3.0004.2	animal5r1ext_st	N/A	animal5r1ext_st.mat
30.071	3.0004.3	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
33.077	3.0005.3	face5r3ext_st	N/A	face5r3ext_st.mat
36.084	3.0005.4	animal1r2ext_st	N/A	animal1r2ext_st.mat
39.09	3.0005.5	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
45.103	3.0004.4	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
48.11	3.0005.6	animal3r5ext_st	N/A	animal3r5ext_st.mat
54.123	3.0004.5	face3r1ext_st	N/A	face3r1ext_st.mat
57.129	3.0005.7	animal5r5ext_st	N/A	animal5r5ext_st.mat
60.135	3.0005.8	chairs3r5ext_st	N/A	chairs3r5ext_st.mat
63.142	3.0006	animal1r5ext_st	N/A	animal1r5ext_st.mat
66.148	3.0005.9	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
69.155	3.0005.10	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
72.161	3.0005.11	animal3r2ext_st	N/A	animal3r2ext_st.mat
75.168	3.0005.12	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
78.174	3.0006.1	face3r3ext_st	N/A	face3r3ext_st.mat
81.181	3.0006.2	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
84.187	3.0006.3	animal2r5ext_st	N/A	animal2r5ext_st.mat
87.194	3.0005.13	face5r4ext_st	N/A	face5r4ext_st.mat
90.2	3.0005.14	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
96.213	3.0003	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
99.22	3.0005.15	face2r4ext_st	N/A	face2r4ext_st.mat
102.23	3.0005.16	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
108.24	3.0003.1	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
111.25	3.0005.17	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
117.26	3.0003.2	animal4r5ext_st	N/A	animal4r5ext_st.mat
120.26	3.0006.4	vehicle2r2ext_st	N/A	vehicle2r2ext_st.mat
123.27	3.0005.18	animal3r3ext_st	N/A	animal3r3ext_st.mat
126.28	3.0005.19	chairs4r2ext_st	N/A	chairs4r2ext_st.mat
129.28	3.0004.6	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
132.29	3.0005.20	vehicle5r4ext_st	N/A	vehicle5r4ext_st.mat
135.3	3.0005.21	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
138.3	3.0005.22	face5r1ext_st	N/A	face5r1ext_st.mat
144.32	3.0004.7	chairs5r3ext_st	N/A	chairs5r3ext_st.mat
150.33	3.0004.8	face1r3ext_st	N/A	face1r3ext_st.mat
153.34	3.0005.23	face3r2ext_st	N/A	face3r2ext_st.mat
159.35	3.0004.9	face2r3ext_st	N/A	face2r3ext_st.mat
162.36	3.0004.10	animal3r4ext_st	N/A	animal3r4ext_st.mat
168.37	3.0003.3	face4r3ext_st	N/A	face4r3ext_st.mat
174.38	3.0004.11	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
177.39	3.0005.24	fruits2r1ext_st	N/A	fruits2r1ext_st.mat
183.4	3.0004.12	vehicle4r5ext_st	N/A	vehicle4r5ext_st.mat
189.41	3.0003.4	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
195.43	3.0004.13	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
198.43	3.0005.25	face3r5ext_st	N/A	face3r5ext_st.mat
204.45	3.0004.14	fruits2r2ext_st	N/A	fruits2r2ext_st.mat
207.45	3.0005.26	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
213.47	3.0004.15	face1r4ext_st	N/A	face1r4ext_st.mat
216.47	3.0005.27	face3r4ext_st	N/A	face3r4ext_st.mat
219.48	3.0005.28	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
225.49	3.0003.5	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
228.5	3.0005.29	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
231.5	3.0006.5	face1r5ext_st	N/A	face1r5ext_st.mat
234.51	3.0005.30	face4r4ext_st	N/A	face4r4ext_st.mat
237.52	3.0005.31	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
243.53	3.0004.16	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
246.54	3.0004.17	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
249.54	3.0005.32	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
252.55	3.0005.33	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
255.56	3.0006.6	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
258.56	3.0042	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
264.59	3.0003.6	face4r1ext_st	N/A	face4r1ext_st.mat
267.6	3.0004.18	face5r5ext_st	N/A	face5r5ext_st.mat
273.61	3.0004.19	animal2r3ext_st	N/A	animal2r3ext_st.mat
276.62	3.0006.7	animal1r3ext_st	N/A	animal1r3ext_st.mat
279.62	3.0005.34	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
282.63	3.0005.35	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
285.64	3.0005.36	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
288.64	3.0006.8	face2r2ext_st	N/A	face2r2ext_st.mat
291.65	3.0006.9	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
294.66	3.0006.10	animal2r2ext_st	N/A	animal2r2ext_st.mat
297.66	3.0005.37	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
303.68	3.0003.7	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
306.68	3.0005.38	face4r5ext_st	N/A	face4r5ext_st.mat
309.69	3.0005.39	animal2r1ext_st	N/A	animal2r1ext_st.mat
312.7	3.0005.40	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
315.7	3.0005.41	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
318.71	3.0005.42	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
321.71	3.0005.43	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
324.72	3.0005.44	animal2r4ext_st	N/A	animal2r4ext_st.mat
327.73	3.0004.20	face4r2ext_st	N/A	face4r2ext_st.mat
330.73	3.0005.45	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
333.74	3.0004.21	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
336.75	3.0006.11	animal1r1ext_st	N/A	animal1r1ext_st.mat
339.75	3.0005.46	fruits1r5ext_st	N/A	fruits1r5ext_st.mat
342.76	3.0005.47	face1r2ext_st	N/A	face1r2ext_st.mat
345.77	3.0005.48	animal4r4ext_st	N/A	animal4r4ext_st.mat
348.77	3.0005.49	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
351.78	3.0005.50	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
354.79	3.0005.51	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
357.79	3.0005.52	face5r2ext_st	N/A	face5r2ext_st.mat
360.8	3.0005.53	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
363.81	3.0005.54	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
369.82	3.0004.22	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
375.83	3.0003.8	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
378.84	3.0005.55	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
381.84	3.0005.56	vehicle5r5ext_st	N/A	vehicle5r5ext_st.mat
384.85	3.0005.57	animal4r2ext_st	N/A	animal4r2ext_st.mat
387.86	3.0005.58	animal4r1ext_st	N/A	animal4r1ext_st.mat
390.86	3.0005.59	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
393.87	3.0005.60	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
396.88	3.0005.61	animal3r1ext_st	N/A	animal3r1ext_st.mat
399.88	3.0004.23	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
402.89	3.0004.24	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
405.9	3.0005.62	chairs4r1ext_st	N/A	chairs4r1ext_st.mat
408.9	3.0005.63	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
411.91	3.0005.64	animal5r2ext_st	N/A	animal5r2ext_st.mat
414.92	3.0005.65	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
417.92	3.0005.66	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
420.93	3.0005.67	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
426.94	3.0003.9	chairs1r2ext_st	N/A	chairs1r2ext_st.mat
432.95	3.0003.10	face2r1ext_st	N/A	face2r1ext_st.mat
435.96	3.0005.68	animal5r3ext_st	N/A	animal5r3ext_st.mat
441.97	3.0004.25	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
444.98	3.0005.69	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
450.99	3.0003.11	face1r1ext_st	N/A	face1r1ext_st.mat
454	3.0005.70	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
460.01	3.0004.26	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
463.02	3.0006.12	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
469.03	3.0004.27	animal5r4ext_st	N/A	animal5r4ext_st.mat
